,customer_id,customer_visit_score,customer_product_search_score,customer_ctr_score,customer_stay_score,customer_frequency_score,customer_product_variation_score,customer_order_score,customer_affinity_score,customer_category,customer_active_segment_A,customer_active_segment_AA,customer_active_segment_B,customer_active_segment_C,customer_active_segment_D,X1_A,X1_AA,X1_BA,X1_E,X1_F
0,csid_1,13.168424934582866,9.447661690795815,-0.07020264289389792,-0.13954087928616138,0.4369560308164117,4.705760939212163,2.5379850518699762,7.959503221378464,0,0,0,0,1,0,0,0,0,0,1
1,csid_2,17.092978802911414,7.329055988983632,0.153298208323694,-0.10272624143736324,0.380340143695337,4.205138052536993,4.193444102300882,17.517380834476114,0,0,0,0,1,0,1,0,0,0,0
2,csid_3,17.505334331849912,5.1436762479362015,0.10670915310922773,0.2628337443816341,0.4176479939050905,4.479069791025262,3.8789714957148176,12.595154763222071,0,0,0,0,1,0,0,0,1,0,0
3,csid_4,31.42338117287971,4.917739697443395,-0.020226007768763144,-0.1005257753213068,0.7781297093360258,5.055534976057204,2.708939613963618,4.795073176836257,0,0,1,0,0,0,0,0,0,0,1
4,csid_5,11.909501720759142,4.237073092290707,0.1871783037553472,0.1728908212454018,0.16206653972960072,3.445246837012913,3.6773601356166137,56.636325823156646,0,0,0,0,1,0,0,1,0,0,0
5,csid_6,9.0079217312265,7.051568305647723,0.16156432965077105,0.040996943802132764,0.19193509944707546,4.209839780087375,3.1819611314049268,18.86267951508423,0,0,0,0,1,0,0,0,1,0,0
6,csid_7,13.70710866834896,5.625178771495777,0.00963366426194474,-0.019997772619353704,0.17762195100625178,4.165093232047202,4.689834296990235,109.2033517509807,0,0,0,1,0,0,0,0,0,1,0
8,csid_9,20.434181347341053,5.111681589887463,0.1339222648197755,0.03689341176164648,0.4423141223990243,4.759516224050496,3.4074239353472597,17.07812263420404,0,0,0,0,1,0,0,0,1,0,0
9,csid_10,13.778213918493677,3.8292986947357543,0.15910210398276464,0.16581811717781247,0.5581873492467218,6.255980102907037,3.3154616724153763,9.443863754209817,0,0,0,1,0,0,0,0,1,0,0
10,csid_11,26.020118991759702,5.663577442382098,-0.10044093531318644,0.055493272758846315,1.2775219923067411,7.071607553090804,2.6578718646727713,4.202380034752887,0,0,0,1,0,0,0,0,1,0,0
11,csid_12,29.741275263135996,2.987411103058076,-0.02717619579261316,0.02927896714167611,0.2885011214588558,4.215455327653382,3.884185465845384,41.49678167047202,0,0,0,0,1,0,0,1,0,0,0
12,csid_13,27.90981845930231,3.650067738538677,-0.04025375929043752,-0.009910941480909685,2.1421217402576045,7.421150456213017,2.1191135265183068,2.6652949104779404,0,0,0,0,1,0,0,0,0,0,1
13,csid_14,30.226102151121758,3.3821972327317327,0.10951609431108453,0.16347485111212953,0.6585540030898652,5.343206547255879,3.433523298144563,20.73672921658252,0,0,1,0,0,0,1,0,0,0,0
14,csid_15,34.05053965239891,5.106674726413078,-0.009464479703651664,0.009928378689388395,1.4512076454964504,5.609728031830449,2.282995882930245,5.942930083985658,0,1,0,0,0,0,0,0,0,0,1
15,csid_16,21.22356050899845,7.42794149905774,-0.031654610856957914,-0.0651744921991115,0.6458885942827767,3.641017275204078,3.3729074416559173,20.531030189970913,0,0,0,1,0,0,1,0,0,0,0
16,csid_17,25.933943229299942,5.838332692444861,0.040020498351248386,-0.04061668558439754,0.35084079843083765,3.925625990273582,4.5846364361500385,21.71499337553839,0,0,0,1,0,0,0,0,1,0,0
